"PlayerID","TimeStamp","datenum of timestamp","#head impacts"
"'040077949'","'2018-09-15 01:05:00'","737318.04513889","2"
"'040079460'","'2018-09-15 01:05:00'","737318.04513889","1"
"'040078046'","'2018-09-15 01:00:00'","737318.04166667","1"
"'040077974'","'2018-09-15 01:00:00'","737318.04166667","1"
"'040077950'","'2018-09-15 01:00:00'","737318.04166667","1"
"'040079460'","'2018-09-15 00:40:00'","737318.02777778","2"
"'040077950'","'2018-09-15 00:40:00'","737318.02777778","1"
"'040078048'","'2018-09-15 00:40:00'","737318.02777778","2"
"'040078040'","'2018-09-15 00:40:00'","737318.02777778","1"
"'040077950'","'2018-09-15 00:35:00'","737318.02430556","1"
"'040078097'","'2018-09-15 00:35:00'","737318.02430556","5"
