PlayerID,TimeStamp,datenum of Timestamp,Low Activity ,Medium Activity,High Activity,percent{( Med+High)/sum}
'040069075','2018-09-18 20:10:00',737321.84027778,31,80,32,7.8321678321678
'040069075','2018-09-18 20:15:00',737321.84375,29,69,55,8.1045751633987
'040069075','2018-09-18 20:20:00',737321.84722222,34,87,33,7.7922077922078
'040079460','2018-09-18 20:10:00',737321.84027778,26,97,26,8.255033557047
'040079460','2018-09-18 20:15:00',737321.84375,71,63,23,5.4777070063694
'040079460','2018-09-18 20:20:00',737321.84722222,43,92,15,7.1333333333333
'040078044','2018-09-18 20:10:00',737321.84027778,34,35,80,7.7181208053691
'040078044','2018-09-18 20:15:00',737321.84375,30,43,80,8.0392156862745
'040078044','2018-09-18 20:20:00',737321.84722222,38,39,75,7.5
'040077940','2018-09-18 20:10:00',737321.84027778,14,40,96,9.0666666666667
'040077940','2018-09-18 20:15:00',737321.84375,33,40,81,7.8571428571429
'040077940','2018-09-18 20:20:00',737321.84722222,92,18,17,2.755905511811
'040078095','2018-09-18 20:10:00',737321.84027778,35,58,52,7.5862068965517
'040078095','2018-09-18 20:15:00',737321.84375,22,86,45,8.562091503268
'040078095','2018-09-18 20:20:00',737321.84722222,7,71,74,9.5394736842105
'040077942','2018-09-18 20:10:00',737321.84027778,19,75,56,8.7333333333333
'040077942','2018-09-18 20:15:00',737321.84375,52,38,63,6.6013071895425
'040077942','2018-09-18 20:20:00',737321.84722222,39,81,31,7.4172185430464
'040078045','2018-09-18 20:10:00',737321.84027778,3,41,105,9.7986577181208
'040078045','2018-09-18 20:15:00',737321.84375,45,30,77,7.0394736842105
'040078045','2018-09-18 20:20:00',737321.84722222,34,36,83,7.7777777777778
'040077971','2018-09-18 20:10:00',737321.84027778,50,73,27,6.6666666666667
'040077971','2018-09-18 20:15:00',737321.84375,13,54,85,9.1447368421053
'040077971','2018-09-18 20:20:00',737321.84722222,13,48,92,9.1503267973856
'040078052','2018-09-18 20:10:00',737321.84027778,24,77,49,8.4
'040078052','2018-09-18 20:15:00',737321.84375,33,93,28,7.8571428571429
'040078052','2018-09-18 20:20:00',737321.84722222,28,88,37,8.1699346405229
'040077960','2018-09-18 20:10:00',737321.84027778,103,45,0,3.0405405405405
'040077960','2018-09-18 20:15:00',737321.84375,96,58,0,3.7662337662338
'040077960','2018-09-18 20:20:00',737321.84722222,119,35,0,2.2727272727273
'040078079','2018-09-18 20:15:00',737321.84375,17,67,70,8.8961038961039
'040078079','2018-09-18 20:20:00',737321.84722222,104,24,22,3.0666666666667
'040078058','2018-09-18 20:15:00',737321.84375,18,47,83,8.7837837837838
'040078058','2018-09-18 20:20:00',737321.84722222,36,59,59,7.6623376623377
'040078058','2018-09-18 20:25:00',737321.85069444,63,48,42,5.8823529411765
'040069068','2018-09-18 20:20:00',737321.84722222,67,82,6,5.6774193548387
